,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.026932415157071836,0.1638536722926554,0.20709283581432836,False,False
1,BRD-A22769835-300-05-7,0.009849441690300335,0.644240711518577,0.6587180308785451,False,False
2,BRD-A53576514-048-02-8,0.022820616277098464,0.2065755868488263,0.2473470842531999,False,False
3,BRD-A87435144-001-01-6,0.16338468510151619,0.01662996674006652,0.02674436756389645,True,True
4,BRD-K00818915-001-02-9,0.09904234732558219,0.028301943396113208,0.04222093195157872,True,True
5,BRD-K01826510-001-09-9,0.030857562475037327,0.13551372897254205,0.17429925703528876,False,False
6,BRD-K02965346-001-01-8,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
7,BRD-K03063480-001-08-9,0.46425865800865795,0.000163999672000656,0.00038266590133486403,True,True
8,BRD-K04923131-001-17-9,0.9666666666666667,1.999996000008e-06,9.0999818000364e-06,True,True
9,BRD-K06182768-001-02-3,0.018334389289736432,0.28129543740912516,0.31997356005287986,False,False
10,BRD-K06883221-001-02-9,0.025043396522724637,0.18108963782072435,0.222691311374134,False,False
11,BRD-K09372874-001-02-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
12,BRD-K12511835-003-03-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
13,BRD-K12737986-001-01-4,0.01054759146916922,0.5926528146943706,0.6128568879225877,False,False
14,BRD-K13094524-001-10-9,0.3394398280267845,0.006597986804026392,0.013645836344690946,True,True
15,BRD-K13606314-001-02-9,0.02088885040535204,0.23373753252493495,0.27269378794575744,False,False
16,BRD-K16189898-001-26-9,0.8423611111111111,1.999996000008e-06,9.0999818000364e-06,True,True
17,BRD-K16803204-001-02-9,0.013712860272655641,0.41983716032567936,0.4494727245839626,False,False
18,BRD-K17953061-001-05-1,0.24194340318223317,0.008317983364033272,0.014969470061059878,True,True
19,BRD-K19477839-001-10-9,0.016298031134470425,0.33116133767732464,0.36308050275465714,False,False
20,BRD-K19871656-001-01-3,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
21,BRD-K20290250-001-03-9,0.22831263003181018,0.00847998304003392,0.014969470061059878,True,True
22,BRD-K21728777-001-03-9,0.9791666666666666,1.999996000008e-06,9.0999818000364e-06,True,True
23,BRD-K23383398-001-08-1,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
24,BRD-K24600306-003-02-9,0.045986998024908125,0.07945984108031784,0.10955826573195339,False,False
25,BRD-K24696047-001-03-9,0.8194444444444444,1.999996000008e-06,9.0999818000364e-06,True,True
26,BRD-K25433859-003-03-1,0.06423184751974578,0.050385899228201546,0.07277963221851334,False,False
27,BRD-K25611237-001-09-9,0.043371929827368906,0.0855738288523423,0.11454200621010523,False,False
28,BRD-K28936863-051-14-0,0.03078732299954471,0.13599172801654397,0.17429925703528876,False,False
29,BRD-K30707190-001-06-9,0.02015581143216802,0.24616150767698464,0.28355312909627345,False,False
30,BRD-K32730239-001-03-9,0.10280124086123935,0.027343945312109375,0.041471650390032554,True,True
31,BRD-K33818169-003-04-6,0.22503069486911279,0.008553982892034215,0.014969470061059878,True,True
32,BRD-K36234266-001-10-6,0.007685101465272105,0.8389443221113557,0.8389443221113557,False,False
33,BRD-K37379014-001-02-0,0.6635149572649572,3.5999928000144e-05,0.0001152664361337944,True,True
34,BRD-K38627885-001-01-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
35,BRD-K39520573-001-01-2,0.34343302281470084,0.004005991988016024,0.008477796997894376,True,True
36,BRD-K39974922-001-05-9,0.4373503724328312,0.000221999556000888,0.0004927307218556295,True,True
37,BRD-K44227013-001-15-9,0.7027777777777778,5.999988000024e-06,2.2749954500090998e-05,True,True
38,BRD-K45909031-001-03-9,0.1956734006955035,0.00937998124003752,0.015519605324425716,True,True
39,BRD-K49669041-001-10-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
40,BRD-K50055394-001-04-9,0.728030303030303,3.999992000016e-06,1.582605530441113e-05,True,True
41,BRD-K53665955-001-05-9,0.5446975002714567,7.5999848000304e-05,0.0002034113578831666,True,True
42,BRD-K53972329-001-12-9,0.20231012070446827,0.00905998188003624,0.015267747242283294,True,True
43,BRD-K54759182-003-09-8,0.016386758715014,0.328743342513315,0.36308050275465714,False,False
44,BRD-K54955827-001-03-9,0.9097222222222222,1.999996000008e-06,9.0999818000364e-06,True,True
45,BRD-K56301217-001-02-5,0.3281051420130817,0.007955984088031824,0.014969470061059878,True,True
46,BRD-K56932272-001-02-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
47,BRD-K57080016-001-19-1,0.6961309523809524,7.999984000032e-06,2.911994176011648e-05,True,True
48,BRD-K60130390-001-02-1,0.548907701597919,7.5999848000304e-05,0.0002034113578831666,True,True
49,BRD-K61397605-001-04-2,0.9458333333333333,1.999996000008e-06,9.0999818000364e-06,True,True
50,BRD-K61688984-001-04-5,0.6227891244733951,3.7999924000152e-05,0.0001152664361337944,True,True
51,BRD-K62391742-001-19-9,0.2592663723712792,0.00817998364003272,0.014969470061059878,True,True
52,BRD-K63631219-001-01-6,0.008175867767678757,0.7908704182591635,0.7996578673509319,False,False
53,BRD-K64881305-001-07-9,0.4521693326453388,0.000175999648000704,0.00040039919920160157,True,True
54,BRD-K66401437-001-03-3,0.7444444444444445,3.999992000016e-06,1.582605530441113e-05,True,True
55,BRD-K66430217-001-05-9,0.02658458035957386,0.16676766646466706,0.2078884609354069,False,False
56,BRD-K67578145-001-13-9,0.7080026455026455,3.999992000016e-06,1.582605530441113e-05,True,True
57,BRD-K67772619-001-06-9,0.04336248012357985,0.08559182881634236,0.11454200621010523,False,False
58,BRD-K68756823-001-12-9,0.015458962227874774,0.35645328709342583,0.38615772768454465,False,False
59,BRD-K69023402-001-03-3,0.9513888888888888,1.999996000008e-06,9.0999818000364e-06,True,True
60,BRD-K70446295-001-04-9,0.30344499626356003,0.008003983992032017,0.014969470061059878,True,True
61,BRD-K70578146-001-13-9,0.5489087301587301,7.5999848000304e-05,0.0002034113578831666,True,True
62,BRD-K70642949-001-06-9,0.9107142857142858,1.999996000008e-06,9.0999818000364e-06,True,True
63,BRD-K72898849-001-03-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
64,BRD-K72951360-001-02-9,0.46665140415140416,0.000163999672000656,0.00038266590133486403,True,True
65,BRD-K73397362-001-09-9,0.3011294259282414,0.008013983972032056,0.014969470061059878,True,True
66,BRD-K73982490-001-04-9,0.017864448844232213,0.2916474167051666,0.3276532706193847,False,False
67,BRD-K75009076-001-04-9,0.6259874384874384,3.7999924000152e-05,0.0001152664361337944,True,True
68,BRD-K76908866-001-08-9,0.15723716035686608,0.016751966496067007,0.02674436756389645,True,True
69,BRD-K82164249-001-03-5,0.04153578708591332,0.09109581780836438,0.12014086116755303,False,False
70,BRD-K82941592-238-06-9,0.013295666319129904,0.43828712342575316,0.46376893292725047,False,False
71,BRD-K83192048-050-01-9,0.05455907199500176,0.06280387439225121,0.08855822288355424,False,False
72,BRD-K83607951-001-04-9,0.23749431454086656,0.008371983256033487,0.014969470061059878,True,True
73,BRD-K84937637-001-21-9,0.512403027892278,8.5999828000344e-05,0.0002235995528008944,True,True
74,BRD-K85606544-001-07-5,0.47428067580657746,0.000127999744000512,0.00031481018119044844,True,True
75,BRD-K85776940-001-01-9,0.012059315162826987,0.4992970014059972,0.5222531853786867,False,False
76,BRD-K86118762-001-05-9,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
77,BRD-K86718786-001-03-9,0.12073489103303196,0.0216499567000866,0.03339230609674374,True,True
78,BRD-K87632963-001-05-9,0.5965253581107239,3.999992000016e-05,0.00011741912000046967,True,True
79,BRD-K88677950-001-04-9,0.47897737829803044,0.000123999752000496,0.0003134438175568093,True,True
80,BRD-K91900765-001-09-9,0.08788288635222444,0.035377929244141515,0.05192567034220771,True,False
81,BRD-K93942811-001-03-9,0.21537274889723923,0.008727982544034911,0.014985781349192016,True,True
82,BRD-K94455792-001-01-8,0.6685910954938814,3.3999932000136e-05,0.0001152664361337944,True,True
83,BRD-K97452254-001-02-9,0.6405753968253969,3.5999928000144e-05,0.0001152664361337944,True,True
84,BRD-K98203492-001-06-9,0.9791666666666666,1.999996000008e-06,9.0999818000364e-06,True,True
85,BRD-K98251413-001-07-9,0.05427948186694888,0.06325587348825303,0.08855822288355424,False,False
86,BRD-K99092662-001-02-9,0.024451220605202717,0.1871996256007488,0.22713554572890854,False,False
87,BRD-K99113996-001-02-0,1.0,1.999996000008e-06,9.0999818000364e-06,True,True
88,BRD-K99433989-001-02-9,0.14801787133768587,0.017103965792068417,0.026835532535831482,True,True
89,BRD-M87138257-003-01-1,0.3900526556776557,0.000545998908002184,0.0011829976340047318,True,True
90,control,0.08428744668892785,0.22324355351289296,0.26383329051523713,False,False
