,Metadata_plate_map_name,Metadata_control_type,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_BRD ID,Metadata_BRD with batch,Metadata_Common Name,Metadata_MoA,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Object_Count,n_pos_pairs,n_total_pairs,average_precision
0,S-C-7314-04-CMP-001,trt,BRD-K62391742-001-19-9,4.3422,5.0,DMSO,K62391742,BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BR00122248,A01,9,3093,3093,3093,3093,3,383,0.04593635889410538
1,S-C-7314-04-CMP-001,trt,BRD-K19477839-001-10-9,1.797,5.0,DMSO,K19477839,BRD-K19477839-001-07-6,SGX523,hepatocyte growth factor receptor inhibitor,BR00122248,A02,9,3539,3539,3539,3539,3,383,0.030024866882960327
2,S-C-7314-04-CMP-001,trt,BRD-K54759182-003-09-8,1.6595,5.0,DMSO,K54759182,BRD-K54759182-003-08-0,dosulepin,tricyclic antidepressant,BR00122248,A03,9,3567,3567,3567,3567,3,383,0.008634838251252167
3,S-C-7314-04-CMP-001,trt,BRD-K70642949-001-06-9,2.313,5.0,DMSO,K70642949,BRD-K70642949-001-04-5,GSK2334470,phosphoinositide dependent kinase inhibitor,BR00122248,A04,9,2711,2711,2711,2711,3,383,1.0
4,S-C-7314-04-CMP-001,trt,BRD-K73397362-001-09-9,2.6031,5.0,DMSO,K73397362,BRD-K73397362-001-06-6,purmorphamine,smoothened receptor agonist,BR00122248,A05,9,3502,3502,3502,3502,3,383,0.3676303854875283
5,S-C-7314-04-CMP-001,trt,BRD-K13606314-001-02-9,1.7411,5.0,DMSO,K13606314,BRD-K13606314-001-01-3,P5091,ubiquitin specific protease inhibitor,BR00122248,A06,9,3461,3461,3461,3461,3,383,0.02766483516483517
6,S-C-7314-04-CMP-001,trt,BRD-K82941592-238-06-9,2.6182,5.0,DMSO,K82941592,BRD-K82941592-238-03-7,rosuvastatin,HMGCR inhibitor,BR00122248,A07,9,3422,3422,3422,3422,3,383,0.0201485399439688
7,S-C-7314-04-CMP-001,trt,BRD-K86718786-001-03-9,1.4917,5.0,DMSO,K86718786,BRD-K86718786-001-03-9,SGC-707,protein arginine N-methyltransferase inhibitor,BR00122248,A08,9,3844,3844,3844,3844,3,383,0.34356161080299014
8,S-C-7314-04-CMP-001,trt,BRD-K02965346-001-01-8,2.8404,5.0,DMSO,K02965346,BRD-K02965346-001-07-5,SU-11274,hepatocyte growth factor receptor inhibitor,BR00122248,A09,9,1788,1788,1788,1788,3,383,1.0
9,S-C-7314-04-CMP-001,trt,BRD-K36234266-001-10-6,1.0702,5.0,DMSO,K36234266,BRD-K36234266-001-09-8,carmustine,DNA inhibitor,BR00122248,A10,9,3552,3552,3552,3552,3,383,0.006346153761774949
