,Metadata_MoA,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,AMPK inhibitor,0.18823160518611953,0.0091990800919908,0.014718528147185281,True,True
1,Apoptosis inducer (ATP-competitive kinase inhibitor),1.0,9.999000099990002e-05,0.00031996800319968006,True,True
2,Apoptosis inducer (transcription inhibitor),0.6779100529100529,9.999000099990002e-05,0.00031996800319968006,True,True
3,Aurora kinase inhibitor,0.3258150240113064,9.999000099990002e-05,0.00031996800319968006,True,True
4,BCL inhibitor,0.459391920961614,9.999000099990002e-05,0.00031996800319968006,True,True
5,Bcr-Abl kinase inhibitor,0.2816163870939923,0.0004999500049995,0.0012630315915776844,True,True
6,CDC inhibitor,0.2508798797199471,0.0010998900109989002,0.0026397360263973606,True,True
7,CDK inhibitor,0.2852301370597289,0.00039996000399960006,0.0010665600106656002,True,True
8,CHK inhibitor,0.48292212714255384,9.999000099990002e-05,0.00031996800319968006,True,True
9,DNA inhibitor,0.06937194118955514,0.06109389061093891,0.07331266873312668,False,False
10,EGFR inhibitor,0.23955363933721385,0.0012998700129987,0.002687731226877312,True,True
11,ER stressor (SERCA inhibitor),1.0,9.999000099990002e-05,0.00031996800319968006,True,True
12,FGFR inhibitor,0.35934689141437853,9.999000099990002e-05,0.00031996800319968006,True,True
13,HDAC inhibitor,0.23219351784718537,0.0013998600139986002,0.002687731226877312,True,True
14,HMGCR inhibitor,0.042238610873187324,0.15928407159284072,0.17780547526642684,False,False
15,IGF-1 inhibitor,0.6848965967759355,9.999000099990002e-05,0.00031996800319968006,True,True
16,JAK inhibitor,0.08236421948723292,0.0458954104589541,0.05797315005341571,True,False
17,JNK inhibitor,0.035170257893651746,0.23277672232776722,0.23772941854750695,False,False
18,LXR agonist,0.6443803930854203,9.999000099990002e-05,0.00031996800319968006,True,True
19,MAP kinase inhibitor,0.10151546983702618,0.027697230276972302,0.036929640369296406,True,True
20,MEK inhibitor,0.22485506130914687,0.0014998500149985001,0.002768953873843385,True,True
21,MoA,0.08649063621554494,0.1987801219878012,0.2120321301203213,False,False
22,PARP inhibitor,0.15896700400390512,0.0160983901609839,0.024147585241475852,True,True
23,RAF inhibitor,0.30393489386130357,0.00039996000399960006,0.0010665600106656002,True,True
24,acetylcholine receptor antagonist,0.07699914215040672,0.050594940505949405,0.062270696007322345,False,False
25,androgen receptor modulator,0.05711307064687219,0.08909109089091091,0.10181838958961247,False,False
26,antihistamine,0.03532694618283325,0.22927707229277072,0.23772941854750695,False,False
27,beta-catenin inhibitor,0.23859796568766822,0.0012998700129987,0.002687731226877312,True,True
28,bromodomain inhibitor,0.643412672729427,9.999000099990002e-05,0.00031996800319968006,True,True
29,glycogen synthase kinase inhibitor,0.3794034689518205,9.999000099990002e-05,0.00031996800319968006,True,True
30,hepatocyte growth factor receptor inhibitor,0.11506075531935654,0.0217978202179782,0.029894153441798677,True,True
31,histone lysine demethylase inhibitor,0.19874926318377922,0.0022997700229977,0.003942462896567486,True,True
32,histone lysine methyltransferase inhibitor,0.2399159325042968,0.0012998700129987,0.002687731226877312,True,True
33,hypoxia inducible factor inhibitor,0.16564219295934246,0.011398860113988602,0.017649847918433964,True,True
34,inosine monophosphate dehydrogenase inhibitor,0.3226021574392806,0.00019998000199980003,0.0005999400059994002,True,True
35,kinesin inhibitor,0.8384408354803092,9.999000099990002e-05,0.00031996800319968006,True,True
36,mTOR inhibitor,0.41044919944269787,9.999000099990002e-05,0.00031996800319968006,True,True
37,p38 MAPK inhibitor,0.4031154661579311,9.999000099990002e-05,0.00031996800319968006,True,True
38,phosphodiesterase inhibitor,0.06569251314083435,0.06819318068193181,0.07983591884713968,False,False
39,phosphoinositide dependent kinase inhibitor,0.3305984123781632,9.999000099990002e-05,0.00031996800319968006,True,True
40,phospholipase inhibitor,0.23062435718839977,0.0013998600139986002,0.002687731226877312,True,True
41,protein arginine N-methyltransferase inhibitor,0.20716034184494359,0.0018998100189981002,0.0033774400337744006,True,True
42,protein tyrosine kinase inhibitor,0.08479972490961045,0.043995600439956005,0.05707537354372671,True,False
43,pyruvate dehydrogenase kinase inhibitor,0.15509061038345365,0.017798220177982202,0.025888320258883202,True,True
44,smoothened receptor agonist,0.17238953514397556,0.007499250074992501,0.01241255184826345,True,True
45,tricyclic antidepressant,0.025147538289586338,0.46065393460653936,0.46065393460653936,False,False
46,tumor necrosis factor production inhibitor,0.03962642760980571,0.18118188181181882,0.19765296197652962,False,False
47,ubiquitin specific protease inhibitor,0.126329353070774,0.019598040195980403,0.027667821453148802,True,True
