,Metadata_broad_sample,mean_average_precision,p_value,corrected_p_value,below_p,below_corrected_p
0,BRD-A12994259-001-11-9,0.14227589146319797,0.6059394060593941,0.6195560219258974,False,False
1,BRD-A22769835-300-05-7,0.4085520765783924,0.11758824117588242,0.18449189563802243,False,False
2,BRD-A53576514-048-02-8,0.25704573934837094,0.24097590240975902,0.30039461807243933,False,False
3,BRD-A87435144-001-01-6,0.5403947903947903,0.030296970302969704,0.05301969803019699,True,False
4,BRD-K00818915-001-02-9,0.41630644682115264,0.1090890910908909,0.17415977700475566,False,False
5,BRD-K01826510-001-09-9,0.37062378167641324,0.13658634136586342,0.20375995187366513,False,False
6,BRD-K02965346-001-01-8,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
7,BRD-K03063480-001-08-9,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
8,BRD-K04923131-001-17-9,0.9345238095238095,0.00039996000399960006,0.0016543800165438002,True,True
9,BRD-K06182768-001-02-3,0.21401495291201175,0.32996700329967005,0.3950920697403944,False,False
10,BRD-K06883221-001-02-9,0.1711169506821681,0.46825317468253175,0.5072742725727427,False,False
11,BRD-K09372874-001-02-9,0.6245632801811292,0.015998400159984,0.0323523203235232,True,True
12,BRD-K12511835-003-03-9,0.275535113035113,0.20887911208879112,0.26771829859267593,False,False
13,BRD-K12737986-001-01-4,0.2411340852130326,0.27387261273872615,0.33678929404356867,False,False
14,BRD-K13094524-001-10-9,0.7077614379084968,0.008399160083991601,0.021837816218378162,True,True
15,BRD-K13606314-001-02-9,0.19834239834239833,0.37206279372062795,0.42857866112122966,False,False
16,BRD-K16189898-001-26-9,0.6908155806182121,0.010498950104989501,0.02514222261984328,True,True
17,BRD-K16803204-001-02-9,0.18996903437692914,0.40115988401159886,0.45631936806319373,False,False
18,BRD-K17953061-001-05-1,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
19,BRD-K19477839-001-10-9,0.2907163742690059,0.18868113188681132,0.24884033335796857,False,False
20,BRD-K19871656-001-01-3,0.7547619047619047,0.0031996800319968005,0.009099090090990901,True,True
21,BRD-K20290250-001-03-9,0.5575174825174825,0.0268973102689731,0.04895310468953104,True,True
22,BRD-K21728777-001-03-9,0.7801288244766506,0.0021997800219978004,0.006902758000062064,True,True
23,BRD-K23383398-001-08-1,0.42450175920570654,0.09929007099290071,0.1624837516248375,False,False
24,BRD-K24600306-003-02-9,0.7095580808080808,0.007799220077992201,0.0208743831499203,True,True
25,BRD-K24696047-001-03-9,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
26,BRD-K25433859-003-03-1,0.6568713450292397,0.0117988201179882,0.026842315768423157,True,True
27,BRD-K25611237-001-09-9,0.5567307692307693,0.0268973102689731,0.04895310468953104,True,True
28,BRD-K28936863-051-14-0,0.688864522417154,0.010498950104989501,0.02514222261984328,True,True
29,BRD-K30707190-001-06-9,0.5666666666666667,0.025097490250974904,0.04758065860080659,True,True
30,BRD-K32730239-001-03-9,0.177774064171123,0.4443555644435556,0.4931262971263849,False,False
31,BRD-K33818169-003-04-6,0.33985551485551485,0.15108489151084892,0.2148238301169883,False,False
32,BRD-K36234266-001-10-6,0.1567843884987848,0.5291470852914708,0.5534756869140671,False,False
33,BRD-K37379014-001-02-0,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
34,BRD-K38627885-001-01-9,1.0,9.999000099990002e-05,0.0004549545045495451,True,True
